formula,Temperature,Rho (Ohm.cm)
BaPbO3,300.0,0.000433737
BaPbO3,400.0,0.000509409
BaPbO3,700.0,0.000526685
BaPbO3,1000.0,0.000858552
Ba0.8Sr0.2PbO3,300.0,0.000462332
Ba0.8Sr0.2PbO3,400.0,0.000476044
Ba0.8Sr0.2PbO3,700.0,0.000550518
Ba0.8Sr0.2PbO3,1000.0,0.000601159
Ba0.6Sr0.4PbO3,300.0,0.00130601
Ba0.6Sr0.4PbO3,400.0,0.00127204
Ba0.6Sr0.4PbO3,700.0,0.00117492
Ba0.6Sr0.4PbO3,1000.0,0.00068696
Ba0.4Sr0.6PbO3,300.0,0.00412774
Ba0.4Sr0.6PbO3,400.0,0.00395079
Ba0.4Sr0.6PbO3,700.0,0.00351048
Ba0.4Sr0.6PbO3,1000.0,0.00093481
LaNiO3,400.0,0.00284295
LaNiO3,700.0,0.00460122
LaNiO3,1000.0,0.00621929
La0.9Bi0.1NiO3,400.0,0.0026727
La0.9Bi0.1NiO3,700.0,0.0041267
La0.9Bi0.1NiO3,1000.0,0.00608691
Ca0.96Sm0.04MnO3,400.0,0.00603672
Ca0.96Sm0.04MnO3,700.0,0.00825459
Ca0.96Sm0.04MnO3,1000.0,0.0110453
Bi2Te3,300.0,0.00055
Bi2Te3,300.0,0.00045
Sb2Te3,300.0,0.00019
Sb2Te3,300.0,0.000122
Ag0.15Sb0.15Te1.15Ge0.85,300.0,0.000694238
Ag0.15Sb0.15Te1.15Ge0.85,400.0,0.000849855
Ag0.15Sb0.15Te1.15Ge0.85,700.0,0.00121347
Ag0.15Sb0.15Te1.15Ge0.85,1000.0,0.00127604
In0.05Co4Sb12,300.0,0.00597571
In0.05Co4Sb12,400.0,0.00677423
In0.05Co4Sb12,700.0,0.00843493
In0.1Co4Sb12,300.0,0.00292032
In0.1Co4Sb12,400.0,0.00340249
In0.1Co4Sb12,700.0,0.00433546
In0.15Co4Sb12,300.0,0.00187175
In0.15Co4Sb12,400.0,0.00212784
In0.15Co4Sb12,700.0,0.0026883
In0.2Co4Sb12,300.0,0.00149208
In0.2Co4Sb12,400.0,0.00174818
In0.2Co4Sb12,700.0,0.00214537
In0.25Co4Sb12,300.0,0.00113947
In0.25Co4Sb12,400.0,0.00134137
In0.25Co4Sb12,700.0,0.00165666
In0.3Co4Sb12,300.0,0.00151015
In0.3Co4Sb12,400.0,0.00179338
In0.3Co4Sb12,700.0,0.00228108
In0.2Co4Sb12,300.0,0.00113436
In0.2Co4Sb12,400.0,0.00128767
In0.2Co4Sb12,700.0,0.00159808
Na0.02PbTe,300.0,0.000368595
Na0.02PbTe,400.0,0.000569421
Na0.02PbTe,700.0,0.0017124
Na0.02PbTe0.85Se0.15,300.0,0.000413223
Na0.02PbTe0.85Se0.15,400.0,0.000619008
Na0.02PbTe0.85Se0.15,700.0,0.00160579
Na0.02PbTe0.85Se0.15,1000.0,0.00205455
Na0.02PbTe0.75Se0.25,300.0,0.000512397
Na0.02PbTe0.75Se0.25,400.0,0.000690909
Na0.02PbTe0.75Se0.25,700.0,0.00163306
Na0.02PbTe0.75Se0.25,1000.0,0.00198264
Tl0.01Pb0.99Te,300.0,0.00274242
Tl0.01Pb0.99Te,400.0,0.00354545
Tl0.01Pb0.99Te,700.0,0.00872727
Tl0.02Pb0.98Te,300.0,0.00239394
Tl0.02Pb0.98Te,400.0,0.00290909
Tl0.02Pb0.98Te,700.0,0.00536364
Si0.9Ge0.1,300.0,0.001822
Si0.9Ge0.1,400.0,0.00208
Si0.9Ge0.1,700.0,0.00302
Si0.9Ge0.1,1000.0,0.004144
Si0.8Ge0.2,300.0,0.001495
Si0.8Ge0.2,400.0,0.001705
Si0.8Ge0.2,700.0,0.002454
Si0.8Ge0.2,1000.0,0.003342
Si0.79936Ge0.19984B0.0008,300.0,0.00133341
Si0.79936Ge0.19984B0.0008,400.0,0.0015184
Si0.79936Ge0.19984B0.0008,700.0,0.00218446
Si0.79936Ge0.19984B0.0008,1000.0,0.00294846
Si0.7956Ge0.1989P0.0055,300.0,0.00117001
Si0.7956Ge0.1989P0.0055,400.0,0.00133537
Si0.7956Ge0.1989P0.0055,700.0,0.00194253
Si0.7956Ge0.1989P0.0055,1000.0,0.002504
TiNiSn,300.0,0.0075
TiNiSn,400.0,0.0051
TiNiSn,700.0,0.00217
TiNiSn,1000.0,0.0015
Bi2Sr2Co2O8,300.0,0.0021239
Bi2Sr2Co2O8,400.0,0.00238192
Bi2Sr2Co2O8,700.0,0.00276581
Bi2Sr2Co2O8,1000.0,0.0036682
K2Bi8Se13,300.0,0.032463527
K2Bi8Se13,300.0,0.004159267
Ca2Co2O5,300.0,0.00146827
Ca2Co2O5,400.0,0.00146667
Ca2Co2O5,700.0,0.00144731
Ca2Co2O5,1000.0,0.00137846
WO2.9,300.0,0.00123823
WO2.9,400.0,0.00119115
WO2.9,700.0,0.00105367
WO2.9,1000.0,0.00117232
WO2.722,300.0,6.45796E-05
WO2.722,400.0,9.78533E-05
WO2.722,700.0,0.00020161
WO2.722,1000.0,0.000304651
La2CuO4,300.0,0.0725764
La1.61Sr0.39Cu0.94Ti0.06O4,300.0,0.0032
La1.85Sr0.15Cu0.94Ti0.06O4,300.0,12.61
La1.73Sr0.27Cu0.94Ti0.06O4,300.0,0.0039
La1.69Sr0.31Cu0.94Ti0.06O4,300.0,0.0035
La1.67Sr0.34Cu0.94Ti0.06O4,300.0,0.0032
La1.95Sr0.05CuO4,300.0,0.00818141
La1.95Sr0.05CuO4,400.0,0.0107975
La1.95Sr0.05CuO4,700.0,0.0158385
La1.95Sr0.05CuO4,1000.0,0.0191756
La1.9Sr0.1CuO4,300.0,0.00280286
La1.9Sr0.1CuO4,400.0,0.00381517
La1.9Sr0.1CuO4,700.0,0.00608328
La1.9Sr0.1CuO4,1000.0,0.00818462
La1.85Sr0.15CuO4,300.0,0.00112686
La1.85Sr0.15CuO4,400.0,0.00148762
La1.85Sr0.15CuO4,700.0,0.00253868
La1.85Sr0.15CuO4,1000.0,0.00376365
La1.725Sr0.28CuO4,300.0,0.00047135
La1.725Sr0.28CuO4,400.0,0.000676029
La1.725Sr0.28CuO4,700.0,0.00136142
La1.725Sr0.28CuO4,1000.0,0.00222519
TlCr5Se8,300.0,0.014
TlCr5Se8,400.0,0.016
TlCr5Se8,700.0,0.02
LiMn2O4,300.0,1886.12
LiMn2O4,400.0,85.3104
LiMn2O4,700.0,1.69095
LiMn2O4,1000.0,0.359618
CuFe0.9Cr0.1O2,300.0,0.107079
CuFe0.9Cr0.1O2,400.0,0.0699656
CuFe0.9Cr0.1O2,700.0,0.0557025
CuFe0.9Cr0.1O2,1000.0,0.0532197
CuRh0.9Mg0.1O2,300.0,0.00179525
CuRh0.9Mg0.1O2,400.0,0.001937
CuRh0.9Mg0.1O2,700.0,0.00319853
CuRh0.9Mg0.1O2,1000.0,0.00407907
CuCr0.98Mg0.02O2,300.0,0.196666
CuCr0.98Mg0.02O2,400.0,0.119099
CuCr0.98Mg0.02O2,700.0,0.0865553
CuCr0.98Mg0.02O2,1000.0,0.072125
WO3,300.0,1402.658318
WO3,400.0,809.8083993
WO3,700.0,108.4818721
WO3,1000.0,64.85589021
W0.99O2.97Co0.02O0.03,300.0,1246.791071
W0.99O2.97Co0.02O0.03,400.0,707.6990581
W0.99O2.97Co0.02O0.03,700.0,86.02520539
W0.99O2.97Co0.02O0.03,1000.0,36.42867811
W0.95O2.95Co0.1O0.15,300.0,114.491013
W0.95O2.95Co0.1O0.15,400.0,99.41840235
W0.95O2.95Co0.1O0.15,700.0,20.23705688
W0.95O2.95Co0.1O0.15,1000.0,15.89233894
W0.9O2.7Co0.2O0.3,300.0,561.0255547
W0.9O2.7Co0.2O0.3,400.0,175.7080154
W0.9O2.7Co0.2O0.3,700.0,52.08251954
W0.9O2.7Co0.2O0.3,1000.0,35.73279019
CaMnO3,300.0,0.302535
CaMnO3,400.0,0.24169
CaMnO3,700.0,0.103099
CaMnO3,1000.0,8.44E-02
CaYb0.05Mn0.95O3,300.0,0.00919163
CaYb0.05Mn0.95O3,400.0,0.0106095
CaYb0.05Mn0.95O3,700.0,0.0155708
CaYb0.05Mn0.95O3,1000.0,0.0186642
CaYb0.1Mn0.9O3,300.0,0.00389918
CaYb0.1Mn0.9O3,400.0,0.0043831
CaYb0.1Mn0.9O3,700.0,0.00614631
CaYb0.1Mn0.9O3,1000.0,0.00782461
CaYb0.15Mn0.85O3,300.0,0.00336145
CaYb0.15Mn0.85O3,400.0,0.00359065
CaYb0.15Mn0.85O3,700.0,0.00481615
CaYb0.15Mn0.85O3,1000.0,0.00595672
CaYb0.4Mn0.6O3,300.0,0.0152199
CaYb0.4Mn0.6O3,400.0,0.0120812
CaYb0.4Mn0.6O3,700.0,0.0106181
CaYb0.4Mn0.6O3,1000.0,0.0110794
In2O3,300.0,0.0135192
In2O3,400.0,0.0149487
In2O3,700.0,0.0194842
In2O3,1000.0,0.0229674
In1.998Ge0.002O3,300.0,0.00210578
In1.998Ge0.002O3,400.0,0.0023498
In1.998Ge0.002O3,700.0,0.00337115
In1.998Ge0.002O3,1000.0,0.0044955
In1.994Ge0.006O3,300.0,0.000836795
In1.994Ge0.006O3,400.0,0.000942337
In1.994Ge0.006O3,700.0,0.00129155
In1.994Ge0.006O3,1000.0,0.00168341
In1.985Ge0.015O3,300.0,0.000722981
In1.985Ge0.015O3,400.0,0.000817897
In1.985Ge0.015O3,700.0,0.00113128
In1.985Ge0.015O3,1000.0,0.00143465
In1.94Ge0.06O3,300.0,0.000896151
In1.94Ge0.06O3,400.0,0.000995442
In1.94Ge0.06O3,700.0,0.00139586
In1.94Ge0.06O3,1000.0,0.00177828
In1.9Ge0.1O3,300.0,0.00132139
In1.9Ge0.1O3,400.0,0.00143465
In1.9Ge0.1O3,700.0,0.0017302
In1.9Ge0.1O3,1000.0,0.00208663
In1.8Ge0.2O3,300.0,0.00287298
In1.8Ge0.2O3,400.0,0.0027953
In1.8Ge0.2O3,700.0,0.00243728
In1.8Ge0.2O3,1000.0,0.00267047
LaCoO3,300.0,7.717915156
LaCoO3,400.0,0.38388399
LaCoO3,700.0,0.001358313
LaCoO3,1000.0,0.000984011
La0.99Sr0.01CoO3,300.0,0.15703628
La0.99Sr0.01CoO3,400.0,0.074131024
La0.99Sr0.01CoO3,700.0,0.001230269
La0.99Sr0.01CoO3,1000.0,0.000950605
La0.98Sr0.02CoO3,300.0,0.069183097
La0.98Sr0.02CoO3,400.0,0.033806484
La0.98Sr0.02CoO3,700.0,0.001096478
La0.98Sr0.02CoO3,1000.0,0.00091622
La0.95Sr0.05CoO3,300.0,0.015958791
La0.95Sr0.05CoO3,400.0,0.007277798
La0.95Sr0.05CoO3,700.0,0.000949511
La0.95Sr0.05CoO3,1000.0,0.000831764
La0.8Sr0.2CoO3,300.0,0.000467735
La0.8Sr0.2CoO3,400.0,0.000446684
La0.8Sr0.2CoO3,700.0,0.000498884
La0.8Sr0.2CoO3,1000.0,0.000597035
Yb14MnSb11,300.0,0.00203961
Yb14MnSb11,400.0,0.00232311
Yb14MnSb11,700.0,0.0034632
Yb14MnSb11,1000.0,0.00457917
Zn4Sb3,300.0,0.00210707
Zn4Sb3,400.0,0.00258969
Zn4Sb3,700.0,0.00332511
CeFe2Co2Sb12,300.0,3.91E-03
CeFe2Co2Sb12,400.0,3.85E-03
CeFe2Co2Sb12,700.0,3.25E-03
CeFe3CoSb12,300.0,1.03E-03
CeFe3CoSb12,400.0,1.12E-03
CeFe3CoSb12,700.0,1.29E-03
CeFe3.5Co0.5Sb12,300.0,8.93E-04
CeFe3.5Co0.5Sb13,400.0,9.71E-04
CeFe3.5Co0.5Sb14,700.0,1.07E-03
CeFe4Sb12,300.0,7.71E-04
CeFe4Sb12,400.0,8.36E-04
CeFe4Sb12,700.0,8.86E-04
AgCrSe2,300.0,0.0445463
AgCrSe2,400.0,0.0402203
AgCrSe2,700.0,0.0328604
Zn0.9975Al0.0025O,300.0,0.0511002
Zn0.9975Al0.0025O,400.0,0.0504715
Zn0.9975Al0.0025O,700.0,0.041277
Zn0.9975Al0.0025O,1000.0,0.0239096
Zn0.995Al0.005O,300.0,0.0151081
Zn0.995Al0.005O,400.0,0.0150295
Zn0.995Al0.005O,700.0,0.0154224
Zn0.995Al0.005O,1000.0,0.010943
Zn0.9925Al0.0075O,300.0,0.0103143
Zn0.9925Al0.0075O,400.0,0.0103143
Zn0.9925Al0.0075O,700.0,0.0111002
Zn0.9925Al0.0075O,1000.0,0.00952849
Zn0.99Al0.01O,300.0,0.006778
Zn0.99Al0.01O,400.0,0.00709234
Zn0.99Al0.01O,700.0,0.00795678
Zn0.99Al0.01O,1000.0,0.00772102
Zn0.97Al0.03O,300.0,0.0213949
Zn0.97Al0.03O,400.0,0.0214735
Zn0.97Al0.03O,700.0,0.0221022
Zn0.97Al0.03O,1000.0,0.0170727
SrMn0.98Mo0.02O3,300.0,0.0257653
SrMn0.98Mo0.02O3,400.0,0.0260503
SrMn0.98Mo0.02O3,700.0,0.0335085
SrMn0.98Mo0.02O3,1000.0,0.0355363
SrMn0.96Mo0.04O3,300.0,0.0154019
SrMn0.96Mo0.04O3,400.0,0.0151768
SrMn0.96Mo0.04O3,700.0,0.0173875
SrMn0.96Mo0.04O3,1000.0,0.0229475
Sm1.7Ca0.3MnO3,300.0,0.248876
Sm0.5Ca0.5MnO3,300.0,0.00955255
CaMnO3,300.0,0.0285342
ZrNi1.98Cu0.02Sn,300.0,1.05E-03
ZrNi1.98Cu0.02Sn,400.0,1.17E-03
ZrNi0.76Co0.004Cu0.2Sn,300.0,8.76E-03
ZrNi0.76Co0.004Cu0.2Sn,400.0,6.95E-03
ZrNiSn0.98Sb0.02,300.0,5.98E-04
ZrNiSn0.98Sb0.02,400.0,6.24E-04
Zr0.94Y0.06NiSn0.96Sb0.04,300.0,7.71E-04
Zr0.94Y0.06NiSn0.96Sb0.04,400.0,7.88E-04
NbCoSn,300.0,0.00122831
NbCoSn,400.0,0.00141493
NbCoSn,700.0,0.00203039
NbCoSn,1000.0,0.00259029
NbCo1.05Sn,300.0,0.00137411
NbCo1.05Sn,400.0,0.0016302
NbCo1.05Sn,700.0,0.00233598
NbCo1.05Sn,1000.0,0.00297916
NbCo1.10Sn,300.0,0.00111024
NbCo1.10Sn,400.0,0.00129687
NbCo1.10Sn,700.0,0.0018429
NbCo1.10Sn,1000.0,0.00242362
NbCo2Sn,300.0,1.47E-04
Bi92Sb8,300.0,0.000160849
Bi92Sb8,400.0,0.000155432
Bi90Sb10,300.0,0.000182312
Bi90Sb10,400.0,0.000180761
Bi88Sb12,300.0,0.000172072
Bi88Sb12,400.0,0.000167887
Bi86Sb14,300.0,0.000256248
Bi86Sb14,400.0,0.000292608
Bi83Sb17,300.0,0.000259558
Bi83Sb17,400.0,0.000285183
CaMn7O12,700.0,0.08931
CaMn7O12,1000.0,0.0405007
CaMn6.5Cu0.5O12,300.0,0.513021
CaMn6.5Cu0.5O12,400.0,0.172634
CaMn6.5Cu0.5O12,700.0,0.0500867
CaMn6.5Cu0.5O12,1000.0,0.0281389
CaMn6CuO12,300.0,0.247652
CaMn6CuO12,400.0,0.101057
CaMn6CuO12,700.0,0.0326349
CaMn6CuO12,1000.0,0.0204067
LiMn2O4,300.0,1720.91
LiMn2O4,400.0,74.0928
LiMn2O4,700.0,1.16732
LiMn2O4,1000.0,0.261071
Pr0.5Ca0.5MnO3,300.0,0.0552875
Pr0.5Ca0.5MnO3,400.0,0.0298067
Pr0.5Ca0.5MnO3,700.0,0.0160953
Pr0.5Ca0.5MnO3,1000.0,0.0127386
Mo3Te4,300.0,7.11E-04
Mo3Te4,400.0,7.20E-04
Mo3Te4,700.0,7.15E-04
Mo3Te4,1000.0,7.23E-04
Mo6Te7S,300.0,7.67E-04
Mo6Te7S,400.0,7.83E-04
Mo6Te7S,700.0,8.17E-04
Mo6Te7S,1000.0,8.33E-04
Mo6Te6S2,300.0,8.57E-04
Mo6Te6S2,400.0,8.87E-04
Mo6Te6S2,700.0,9.46E-04
Mo6Te6S2,1000.0,1.00E-03
CuRh0.9Mg0.1O2,300.0,0.00248814
CuRh0.9Mg0.1O2,400.0,0.00270088
CuRh0.9Mg0.1O2,700.0,0.00392099
CuRh0.9Mg0.1O2,1000.0,0.00552975
Sr2Ti0.8Nb0.2O4,300.0,0.004761905
Sr2Ti0.8Nb0.2O4,400.0,0.005668934
Sr2Ti0.8Nb0.2O4,700.0,0.008654262
Sr2Ti0.8Nb0.2O4,1000.0,0.013333333
Sr3Ti1.6Nb0.4O7,300.0,0.001858736
Sr3Ti1.6Nb0.4O7,400.0,0.002173913
Sr3Ti1.6Nb0.4O7,700.0,0.004291845
Sr3Ti1.6Nb0.4O7,1000.0,0.0078125
SrTi0.8Nb0.2O3,300.0,0.001451379
SrTi0.8Nb0.2O3,400.0,0.001420455
SrTi0.8Nb0.2O3,700.0,0.001709402
SrTi0.8Nb0.2O3,1000.0,0.002564103
Sr0.95La0.05TiO3,300.0,0.007013213
Sr0.95La0.05TiO3,400.0,0.004427365
Sr0.95La0.05TiO3,700.0,0.009176669
Sr0.95La0.05TiO3,1000.0,0.018325859
Sr0.9La0.1TiO3,300.0,0.002614215
Sr0.9La0.1TiO3,400.0,0.001650323
Sr0.9La0.1TiO3,700.0,0.003658929
Sr0.9La0.1TiO3,1000.0,0.007932542
Sr0.8La0.2TiO3,300.0,0.00061297
Sr0.8La0.2TiO3,400.0,0.000533678
Sr0.8La0.2TiO3,700.0,0.00119206
Sr0.8La0.2TiO3,1000.0,0.002380618
TiNiSn,300.0,0.031417889
TiNiSn,400.0,0.008392923
TiNiSn,700.0,0.002761043
TiNiSn,1000.0,0.00162668
Ti0.99Nb0.01NiSn,300.0,0.001155085
Ti0.99Nb0.01NiSn,400.0,0.001240099
Ti0.99Nb0.01NiSn,700.0,0.001275479
Ti0.99Nb0.01NiSn,1000.0,0.001142318
Ti0.98Nb0.02NiSn,300.0,0.00065392
Ti0.98Nb0.02NiSn,400.0,0.000727215
Ti0.98Nb0.02NiSn,700.0,0.000907836
Ti0.98Nb0.02NiSn,1000.0,0.000960366
Ti0.95Nb0.05NiSn,300.0,0.000350664
Ti0.95Nb0.05NiSn,400.0,0.000395775
Ti0.95Nb0.05NiSn,700.0,0.000566575
Ti0.95Nb0.05NiSn,1000.0,0.000725805
ZrNiSn,300.0,0.031417889
ZrNiSn,400.0,0.008742023
ZrNiSn,700.0,0.002797367
ZrNiSn,1000.0,0.001589818
Zr0.99Nb0.01NiSn,300.0,0.00109507
Zr0.99Nb0.01NiSn,400.0,0.001240347
Zr0.99Nb0.01NiSn,700.0,0.001348732
Zr0.99Nb0.01NiSn,1000.0,0.001214574
Zr0.98Nb0.02NiSn,300.0,0.000615745
Zr0.98Nb0.02NiSn,400.0,0.000691477
Zr0.98Nb0.02NiSn,700.0,0.00087395
Zr0.98Nb0.02NiSn,1000.0,0.000951602
Zr0.95Nb0.05NiSn,300.0,0.000337249
Zr0.95Nb0.05NiSn,400.0,0.000364333
Zr0.95Nb0.05NiSn,700.0,0.000473698
Zr0.95Nb0.05NiSn,1000.0,0.000586514
Ca3Co4O9,300.0,0.045864406
Ca3Co4O9,400.0,0.041030186
Ca3Co4O9,700.0,0.028737366
Ca3Co4O9,1000.0,0.026053065
La0.05Ca2.85Co3.8O8.55,300.0,0.04077738
La0.05Ca2.85Co3.8O8.55,400.0,0.037831785
La0.05Ca2.85Co3.8O8.55,700.0,0.02510973
La0.05Ca2.85Co3.8O8.55,1000.0,0.019086118
La0.3Ca2.7Co4O9,300.0,0.059608255
La0.3Ca2.7Co4O9,400.0,0.038675593
La0.3Ca2.7Co4O9,700.0,0.020697677
La0.3Ca2.7Co4O9,1000.0,0.015040127
La0.45Ca2.55Co4O9,300.0,0.043094346
La0.45Ca2.55Co4O9,400.0,0.03725033
La0.45Ca2.55Co4O9,700.0,0.022970024
La0.45Ca2.55Co4O9,1000.0,0.01759148
Cr1.3Mo6S8,300.0,0.000508654
Cr1.3Mo6S8,400.0,0.000551923
